"content","date","Type_of_communication","link","title"
"Managing marketed health product-related side effects depends on healthcare professionals and consumers reporting them. Any adverse event or other serious or unexpected side effects to SGLT2 inhibitors should be reported to the appropriate manufacturer (see “Products affected”) or to Health Canada....","
									2016-05-16								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58404a-eng.php","SGLT2 Inhibitors [INVOKANA (canagliflozin), FORXIGA (dapagliflozin), XIGDUO (dapagliflozin/metformin), JARDIANCE (empagliflozin)] - Risk of Diabetic Ketoacidosis"
"NOW Biotin and Protocol for Life Balance Biotin (2016-05-13) Affected products  NOW BiotinProtocol for Life Balance Biotin  Product label missing the following risk statement - Consult a health care practitioner prior to use if you are pregnant or breastfeeding  Retailers and Online - Canada Retailers...","
									2016-05-13								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58646r-eng.php","NOW Biotin and Protocol for Life Balance Biotin (2016-05-13)"
"pms-Betahistine (2016-05-12) Affected products  pms-Betahistine  Labelling error. The dosage on the carton (1/2 to 1 tablet three times daily) could result in exceeding the maximum daily dose of 48mg.  Wholesalers and pharmacies in Canada    pms-Betahistine DIN 2330237 Tablet 24 mg...","
									2016-05-12								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58558r-eng.php","pms-Betahistine (2016-05-12)"
"Managing health product-related side effects depends on health care professionals and consumers reporting them. Any serious or unexpected side effects in patients receiving BICILLIN L-A should be reported to Pfizer Canada Inc. or Health Canada. Pfizer Canada Inc. 17300 Trans-Canada Highway Kirkland,...","
									2016-05-12								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58338a-eng.php","BICILLIN L-A Injection (penicillin G benzathine) 2 mL Single Use Syringe - Shortage and Replacement with Australian Labelled Stock"
"NO 7 PROTECT & PERFECT INTENSE DAY CREAM SPF 15 (2016-05-11) Affected products  NO 7 PROTECT & PERFECT INTENSE DAY CREAM SPF 15  Lot sold prior to quality assurance release following importation  Pharmacies    NO 7 PROTECT & PERFECT INTENSE DAY CREAM SPF 15 DIN 02384140 Cream AVOBENZONE 3 % / W/W OCTISALATE...","
									2016-05-11								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58648r-eng.php","NO 7 PROTECT & PERFECT INTENSE DAY CREAM SPF 15 (2016-05-11)"
"pms-Amantadine HCL (2016-05-11)   The recall is due to an out-of-specification result for a dissolution test.  Wholesalers and pharmacies (direct or via wholesalers) in Canada    pms-Amantadine HCL DIN 01990403 Capsule 100 mg...","
									2016-05-11								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58478r-eng.php","pms-Amantadine HCL (2016-05-11)"
"Health Canada warns Canadians not to use unauthorized 'LifeGive' health products with misleading health claims    OTTAWA – Health Canada is warning Canadians not to purchase or use ‘LifeGive’ health products to treat diseases such as cancer and dementia. These products are not authorized for sale...","
									2016-05-11								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58306a-eng.php","Health Canada warns Canadians not to use unauthorized 'LifeGive' health products with misleading health claims"
"Sodium Chloride Injection USP (2016-05-10) Affected products  Sodium Chloride Injection USP  Lot recalled as a precautionary measure because pH might be out of specification before product expiration date.  Retailers across Canada    Sodium Chloride Injection USP DIN 02150204 Solution 9 mg/mL Sodium...","
									2016-05-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/59910r-eng.php","Sodium Chloride Injection USP (2016-05-10)"
"Sodium Chloride Injection USP (2016-05-10) Affected products  Sodium Chloride Injection USP  Out of specification result for pH during stability testing.  Retailers across Canada    Sodium Chloride Injection USP Din 02150204 Solution 9 mg/mL Sodium chloride...","
									2016-05-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58662r-eng.php","Sodium Chloride Injection USP (2016-05-10)"
"NOW Colostrum (2016-05-10) Affected products  NOW Colostrum  Product was incorrectly labelled to contain Chromium  Retailers and Online - Canada    NOW Colostrum NPN 80015540 Capsule 500 mg...","
									2016-05-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58640r-eng.php","NOW Colostrum (2016-05-10)"
"Consumers should check the ingredient list on the product labels of their leave-on cosmetic, non-prescription or natural health products to verify whether the combination of MI/MCI is present. Consumers who experience sensitivities or allergic reactions to products containing MI/MCI should avoid using...","
									2016-05-10								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58290a-eng.php","Health Canada informing Canadians of risks related to certain preservatives in cosmetic, non-prescription and natural health products"
"Your Best Friend's Natural Pest Protection (2016-05-05) Affected products  Your Best Friend's Natural Pest Protection  Product was being sold without market authorization (DIN).  Retailers (Ontario only)    Your Best Friend's Natural Pest Protection N/A Powder N/A...","
									2016-05-05								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58642r-eng.php","Your Best Friend's Natural Pest Protection (2016-05-05)"
"Managing marketed health product-related side effects depends on healthcare professionals and consumers reporting them. Any adverse event or other serious or unexpected side effects to BCR-ABL TKIs should be reported to the appropriate manufacturer (see “Products affected”) or to Health Canada. Novartis...","
									2016-05-04								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58222a-eng.php","BCR-ABL Tyrosine Kinase Inhibitors [GLEEVEC (imatinib mesylate), TASIGNA (nilotinib), BOSULIF (bosutinib), SPRYCEL (dasatinib), ICLUSIG (ponatinib hydrochloride)] - Risk of Hepatitis B Reactivation"
"Managing marketed health product-related side effects depends on healthcare professionals and consumers reporting them. Adverse events including any case of serious infections and/or fatal infections in patients receiving ZYDELIG should be reported to Gilead Sciences Canada, Inc. or Health Canada. Gilead...","
									2016-05-03								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58118a-eng.php","ZYDELIG (idelalisib) - Increased Risk of Fatal and Serious Infections"
"Captopril Captopril is a prescription drug  used in the treatment of high blood pressure (hypertension), congestive heart failure and kidney problems caused by diabetes. Captopril should only be used under medical supervision. When taken in high doses, captopril can result in excessive lowering of blood...","
                                        2016-04-29                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58124a-eng.php","Unauthorized products seized at Calgary retailer may pose serious health risks"
"Iobenguane I123 injection (2016-04-28) Affected Products  Iobenguane I123 injection  Recall initiated because the product does not meet the specification results for purity.  Hospitals (Clinic)    Iobenguane I123 injection Not applicable Liquid Assay -63.81Mbq/ml...","
									2016-04-28								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58304r-eng.php","Iobenguane I123 injection (2016-04-28)"
"Life Brand Night-time Sleep Aid Liquid (2016-04-28) Affected Products  Life Brand Night-time Sleep Aid Liquid  Incorrect labelling: product labelled as """"Sucrose free"""" but contains high fructose corn syrup.  One wholesaler, retailers all over Canada    Life Brand Night-time Sleep Aid Liquid DIN 02427427...","
									2016-04-28								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58272r-eng.php","Life Brand Night-time Sleep Aid Liquid (2016-04-28)"
"Exact Brand Night-time Sleep Aid Liquid (2016-04-28) Affected Products  Exact Brand Night-time Sleep Aid Liquid  Incorrect labelling: product labelled as """"Sucrose free"""" but contains high fructose corn syrup.  One wholesaler, retailers all over Canada    Exact Brand Night-time Sleep Aid Liquid DIN 02427427...","
									2016-04-28								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58270r-eng.php","Exact Brand Night-time Sleep Aid Liquid (2016-04-28)"
"Montelukast (2016-04-21) Affected Products  Montelukast  Carton label incorrectly references the tablets as being chewable.  Wholesalers and pharmacies across Canada.    Montelukast DIN 02379333 Tablet 10 mg...","
									2016-04-21								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58268r-eng.php","Montelukast (2016-04-21)"
"URX Bombshell has not been approved by Health Canada. This means that it has not been assessed for safety, effectiveness and quality. As a result, it may contain ingredients not listed on the label, other additives and/or contaminated ingredients or other ingredients that may interact with other medications...","
                                        2016-04-19                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57974a-eng.php","Unauthorized drug (URX Bombshell) being sold online may pose serious health risks"
"GM Highway Safety Kit Recall (2016-03-31) Affected Products  A) Antiseptic Towelette B) Providone-Iodine Prep Pad  No Market Authorization  Retailers (Alberta, Ontario, Quebec)   , A) Antiseptic Towelette  , B) Providone-Iodine Prep Pad No Market Authorization,No Market Authorization Towelette, Pad...","
									2016-03-31								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57870r-eng.php","GM Highway Safety Kit Recall (2016-03-31)"
"Contact the Health Products and Food Branch Inspectorate at 1-800-267-9675 if you find a product listed above in the Canadian marketplace.  Consult with a healthcare professional if you have health concerns related to the use of any of these products.  Read the label of the products you buy to verify...","
                                        2016-03-29                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57694a-eng.php","Foreign Product Alert: Lipo Escultura, 100% healthy food for men tablets, Blue Diamond capsules, Diamond 3500, Eros Power Zone 1900, OrgaZen 3500, Rhino 7 Blue 9000, Rhino Big Horn 3000, Triple MiracleZen Extreme 1750 mg, Triple MiracleZen Gold 1750 mg, Triple MiracleZen Plus 1500 mg, Triple Power Zen Gold 2000, Triple Power Zen Plus 2000, V-MAX Herbal Tablets, Xtra Zone 2200, Xtra Zone 2400, Xtra Zone 2600"
"Health Canada reminds parents not to give cough and cold medication to children under 6 years old   March 24, 2016 For immediate release OTTAWA – In Canada, the flu (influenza) season typically runs from November to April. However, according to the Public Health Agency of Canada, the flu season was...","
									2016-03-24								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57622a-eng.php","Health Canada reminds parents not to give cough and cold medication to children under 6 years old"
"Sildenafil and tadalafil are prescription drug ingredients. Products containing these ingredients should only be used under the supervision of a health-care practitioner. Sildenafil and tadalafil should not be used by individuals taking any kind of nitrate drug (e.g., nitroglycerine) as it can cause...","
                                        2016-03-23                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57642a-eng.php","Thirteen unauthorized products seized at various Ontario retailers may pose serious health risks"
"GM First Aid Kit Recall (2016-03-22) Affected Products  a) Ibuprofen tablets in GM first aid kit b)1% Hydrocortisone Cream in first aid kit c) Triple Antibiotic Ointment in GM first aid kit  No Market Authorization  Retailers (British Columbia, Alberta, Ontario, Quebec)   ,, a) Ibuprofen tablets in GM...","
									2016-03-22								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57868r-eng.php","GM First Aid Kit Recall (2016-03-22)"
"Bortezomib for Injection (2016-03-18) Affected Products  Bortezomib for Injection  Potential for presence of particulate matter (glass) in this lot.  Wholesalers, hospitals - Quebec, British Columbia, Saskatchewan, Manitoba, Ontario, Newfoundland and Labrador    Bortezomib for Injection DIN 02423405...","
									2016-03-18								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57860r-eng.php","Bortezomib for Injection (2016-03-18)"
"International clinical trials, including trials in Canada, are being stopped due to serious adverse events with the drug Zydelig, in combination with other cancer drugs    OTTAWA – Health Canada is informing Canadians and health care professionals of four Canadian clinical trials, involving the cancer...","
									2016-03-17								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57590a-eng.php","International clinical trials, including trials in Canada, are being stopped due to serious adverse events with the drug Zydelig, in combination with other cancer drugs"
"Personnelle Sunscreen Lotion (2016-03-16) Affected products  A. Sunscreen Lotion 30 SPF  - Children and Adults B. Sunscreen Lotion 50+ SPF - Children and Adults  Out Of Specification results for total aerobic microbial content.  Wholesalers   , A. Sunscreen Lotion 30 SPF  - Children and Adults  ,...","
									2016-03-16								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/60210r-eng.php","Personnelle Sunscreen Lotion (2016-03-16)"
"Personnelle Lotion Ecran Solaire / Sunscreen Lotion 30/50+ FPS SPF Enfants et Adultes - Children and Adults (2016-03-16) Affected products  A. Personnelle Lotion Ecran Solaire / Sunscreen Lotion 30 FPS SPF Enfants et Adultes - Children and Adults (2016-03-16) B. Personnelle Lotion Ecran Solaire / Sunscreen...","
									2016-03-16								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/59694r-eng.php","Personnelle Lotion Ecran Solaire / Sunscreen Lotion 30/50+ FPS SPF Enfants et Adultes - Children and Adults (2016-03-16)"
"Personnelle Sunscreen Lotion (2016-03-16) Affected Products   A. Sunscreen Lotion Kids SPF 50+  B. Sunscreen Lotion Kids SPF 30  Out Of Specification results for total aerobic microbial content.  Wholesalers   , A. Sunscreen Lotion Kids SPF 50+  , B. Sunscreen Lotion Kids SPF 30 DIN 02395983,DIN 02395975...","
									2016-03-16								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/58094r-eng.php","Personnelle Sunscreen Lotion (2016-03-16)"
"Menjugate Liquid (2016-03-07) Affected Products  Menjugate Liquid   Precautionary measure due to an apparent higher rate of expected adverse reactions.  Wholesalers, Provinces, Hospitals    Menjugate Liquid DIN 02440709 Suspension  Meningococcal Group C Oligosaccharide - 10 mcg/0.5 ml  Corynebacterium...","
									2016-03-07								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57532r-eng.php","Menjugate Liquid (2016-03-07)"
"Products containing sildenafil can only be sold pursuant to a prescription. Products containing sildenafil or its analogs (very similar substances) should never be used by individuals taking any kind of nitrate drug (e.g. nitroglycerine) as it can cause potentially life-threatening low blood pressure....","
                                        2016-03-07                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57436a-eng.php","Vivo Brand Management recalling more natural health products that may contain undeclared drugs that may pose serious health risks"
"Levofloxacin (2016-03-02) Affected Products  Levofloxacin  Recall due to a potential contact with foreign substance during manufacturing.  Hospitals (including Pharmacies), Wholesalers    Levofloxacin DIN 02314932 Solution 5 mg/mL...","
									2016-03-02								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57514r-eng.php","Levofloxacin (2016-03-02)"
"Dextrose 20% Injection USP (2016-03-02) Affected Products  Dextrose 20% Injection USP  Recall due to a potential contact with foreign substance during manufacturing.  Hospitals (including Pharmacies), Wholesalers    Dextrose 20% Injection USP DIN 00037966 Solution Dextrose 200 mg/mL...","
									2016-03-02								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57512r-eng.php","Dextrose 20% Injection USP (2016-03-02)"
"Exorex Gel 2% (2016-03-01) Affected Products  Exorex Gel 2%  Out-of-specification coal tar assay result during stability testing  Retailers : British Columbia, Alberta, Ontario, Quebec and Saskatchewan, New Brunswick, Nova Scotia, Prince Edward Island    Exorex Gel 2% DIN 02184680 Emulsion 2%...","
									2016-03-01								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57502r-eng.php","Exorex Gel 2% (2016-03-01)"
"Draximage MDP (2016-02-26) Affected Products  Draximage MDP  This lot is recalled because a glass particule was found in a vial from this lot.  Radiopharmacies and hospitals    Draximage MDP Not applicable Powder for solution 10 mg...","
									2016-02-26								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57504r-eng.php","Draximage MDP (2016-02-26)"
"ENDURE 400 SCRUB-STAT 4 (2016-02-12) Affected Products  ENDURE 400 SCRUB-STAT 4  Expected out of specification for active ingredient Chlorhexidine Gluconate prior to the expiration date of the impacted product.  Wholesalers    ENDURE 400 SCRUB-STAT 4 DIN 02239252 Liquid 4%...","
									2016-02-12								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57336r-eng.php","ENDURE 400 SCRUB-STAT 4 (2016-02-12)"
"Call toll-free at 1-866-234-2345  Visit MedEffect Canada's web page on Adverse Reaction Reporting for information on how to report online, by mail or by fax. Stay connected with Health Canada and receive the latest advisories and product recalls using social media tools.   Pfizer Consumer Healthcare...","
									2016-02-12								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57140a-eng.php","Pfizer Consumer Healthcare recalling 126 lots of Advil liquid products for infants and children"
"Advil Pediatric Drops Fever from Colds or Flu (2016-02-10) Affected Products  Advil Pediatric Drops Fever from Colds or Flu  Expected out-of-specification results on Viscosity prior to the expiration date of the impacted product.  Product distributed to wholesalers, retailers and doctors (for samples)...","
									2016-02-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57334r-eng.php","Advil Pediatric Drops Fever from Colds or Flu (2016-02-10)"
"Advil Pediatric Drops (2016-02-10) Affected Products  Advil Pediatric Drops  Expected out-of-specification results on Viscosity prior to the expiration date of the impacted product.  Product distributed to wholesalers, retailers and doctors (for samples) nationwide.    Advil Pediatric Drops DIN 02242522...","
									2016-02-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57332r-eng.php","Advil Pediatric Drops (2016-02-10)"
"Children's Advil Cold (2016-02-10) Affected Products  Children's Advil Cold  Expected out-of-specification results on Viscosity prior to the expiration date of the impacted product.  Product distributed to wholesalers, retailers and doctors (for samples) nationwide.    Children's Advil Cold DIN 02248435...","
									2016-02-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57330r-eng.php","Children's Advil Cold (2016-02-10)"
"Children's Advil Fever from Colds or Flu (2016-02-10) Affected Products  Children's Advil Fever from Colds or Flu  Expected out-of-specification results on Viscosity prior to the expiration date of the impacted product.  Product distributed to wholesalers, retailers and doctors (for samples) nationwide....","
									2016-02-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57328r-eng.php","Children's Advil Fever from Colds or Flu (2016-02-10)"
"Children's Advil (2016-02-10) Affected Products  Children's Advil  Expected out-of-specification results on Viscosity prior to the expiration date of the impacted product.  Product distributed to wholesalers, retailers and doctors (for samples) nationwide.    Children's Advil DIN 02232297 Suspension...","
									2016-02-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57326r-eng.php","Children's Advil (2016-02-10)"
"Tadalafil should only be used under the supervision of a health-care practitioner. Products containing tadalafil or its analogs (very similar substances) should never be used by individuals taking any kind of nitrate drug (e.g. nitroglycerine) as it can cause potentially life-threatening low blood pressure.Individuals...","
                                        2016-02-04                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57002a-eng.php","""""Forta for Men"""" sex enhancement product recalled; contains undeclared drug"
"Ibuprofen Liquid Capsules 200 mg (2016-02-03) Affected Products   Overwaitea Ibuprofen Liquid Capsules 200 mg  Life Ibuprofen Liquid Capsules 200 mg  Costco Ibuprofen Liquid Capsules 200 mg  McKessons Ibuprofen Liquid Capsules 200 mg  Sobeys Ibuprofen Liquid Capsules 200 mg  McMahon Ibuprofen Liquid...","
									2016-02-03								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57524r-eng.php","Ibuprofen Liquid Capsules 200 mg (2016-02-03)"
"Soframycin (2016-01-29) Affected Products  Soframycin  Out of specification result for potency during shelf life testing  Canadian wholesalers    Soframycin DIN 02224860 Nasal spray  Framycetin 12.5 mg/mL,  Gramicidin 0.05 mg/mL,  Phenylephrine HCL 2.5 mg/mL...","
									2016-01-29								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/57078r-eng.php","Soframycin (2016-01-29)"
"Anuzinc HC Ointment (2016-01-25) Affected Products  Anuzinc HC Ointment  Out of specification result for potency during shelf life testing  Wholesalers and pharmacies in Canada    Anuzinc HC Ointment DIN 02247691 Ointment  Zinc Sulfate Monohydrate 5 mg/g  Hydrocortisone Acetate 5 mg/g...","
									2016-01-25								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56958r-eng.php","Anuzinc HC Ointment (2016-01-25)"
"Scopolamine Hydrobromide Injection (2016-01-22) Affected products  Scopolamine Hydrobromide Injection  Downward trend in potency during shelf life testing. Risk of potency falling below specifications before expiry date is reached  Wholesalers and hospitals across Canada    Scopolamine Hydrobromide Injection...","
									2016-01-22								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56970r-eng.php","Scopolamine Hydrobromide Injection (2016-01-22)"
"...","
									2016-01-22								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56968r-eng.php","Scopolamine Hydrobromide Injection (2016-01-22)"
"Equate-Muscle & Back Pain Relief -8 (2016-01-22) Affected Products  Equate-Muscle & Back Pain Relief -8  Product did not meet stability specification for Codeine Phosphate assay.  Distributed down to retailers in Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland, Nova Scotia, Ontario,...","
									2016-01-22								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56956r-eng.php","Equate-Muscle & Back Pain Relief -8 (2016-01-22)"
"Biomedic-Muscle & Back Pain Relief -8 (2016-01-22) Affected Products  Biomedic-Muscle & Back Pain Relief -8  Product did not meet stability specification for Codeine Phosphate assay.  Distributed down to retailers in Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland, Nova Scotia, Ontario,...","
									2016-01-22								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56954r-eng.php","Biomedic-Muscle & Back Pain Relief -8 (2016-01-22)"
"Methoxacet - C1/8 (2016-01-22) Affected Products  Methoxacet - C1/8  Product did not meet stability specification for Codeine Phosphate assay.  Distributed down to retailers in Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland, Nova Scotia, Ontario, Quebec and Saskatchewan.    Methoxacet...","
									2016-01-22								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56950r-eng.php","Methoxacet - C1/8 (2016-01-22)"
"Managing marketed health product-related side effects depends on healthcare professionals and consumers reporting them. Any adverse event or other serious or unexpected side effects in patients receiving TARCEVA should be reported to Hoffmann-La Roche Limited or Health Canada. Hoffmann-La Roche Limited...","
									2016-01-21								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56720a-eng.php","TARCEVA (erlotinib) - Use in Maintenance Treatment for Patients"
"Managing marketed health product-related side effects depends on healthcare professionals and consumers reporting them. Any case of spontaneous abortions and congenital malformations or other serious or unexpected side effects in patients receiving CellCept (mycophenolate mofetil) should be reported...","
									2016-01-18								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56690a-eng.php","CellCept (mycophenolate mofetil) and MYFORTIC (mycophenolate sodium) - Serious Risk of Teratogenicity in Mycophenolate-Containing Products"
"VivierSkin (2016-01-11) Affected Products  VivierSkin  Out of specification result for potency during shelf life testing.  Retailers    VivierSkin DIN 02246994 Cream Octinoxate 7.5% Octyl Salicylate 3.0% Benzophenone-3 3.0%...","
									2016-01-11								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2016/56946r-eng.php","VivierSkin (2016-01-11)"
"...","
									2015-12-24								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56526r-eng.php","Ketorolac Tromethamine Injection USP (2015-12-24)"
"Vyvanse (2015-12-23) Affected Products  Vyvanse  Some labels were found missing on product bottles from these lots.  Wholesalers across Canada    Vyvanse DIN 02322951 Capsule Lisdexamfetamine Dimesylate 30mg...","
									2015-12-23								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56514r-eng.php","Vyvanse (2015-12-23)"
"RAN-Imipenem-Cilastatin (2015-12-23) Affected Products  RAN-Imipenem-Cilastatin  Out of specification result for an impurity during stability testing.  One wholesaler in Quebec distributing to hospitals.    RAN-Imipenem-Cilastatin DIN 02351692 Powder for solution Cilastatin (Cilastatin Sodium) 250mg/vial...","
									2015-12-23								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56486r-eng.php","RAN-Imipenem-Cilastatin (2015-12-23)"
"Unauthorized drugs that may pose serious risks to Canadians seized from retailers in B.C. and Ontario   OTTAWA - Health Canada is informing Canadians that five unauthorized drugs that may pose serious risks were seized from retailers in B.C. and Ontario. The products were seized because they were labelled...","
                                        2015-12-23                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56428a-eng.php","Unauthorized drugs that may pose serious risks to Canadians seized from retailers in B.C. and Ontario"
"70% Dextrose Injection USP (2015-11-22) Affected Products  70% Dextrose Injection USP  Presence of particulate matter  Wholesalers, hospitals and hospital pharmacies across Canada    70% Dextrose Injection USP DIN 02014874 Solution 70 g / 100 mL (70%)...","
									2015-12-22								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56450r-eng.php","70% Dextrose Injection USP (2015-11-22)"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of radiation sensitization or radiation recall or other serious or unexpected side effects in patients receiving ZELBORAF (vemurafenib) should be reported to Hoffmann-La Roche...","
									2015-12-22								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56368a-eng.php","ZELBORAF (vemurafenib) - Risk of Radiation Sensitization or Radiation Recall Reaction"
"Pantoprazole (2015-12-17) Affected Products  Pantoprazole  Recall conducted because the dissolution testing performed for this lot as part of the stability study at the18-month interval does not meet the specifications.  Wholesalers and pharmacies in Quebec    Pantoprazole DIN 02318695 Tablet (Delayed-Release)...","
									2015-12-17								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56528r-eng.php","Pantoprazole (2015-12-17)"
"If you use over-the-counter topical acne products containing benzoyl peroxide or salicylic acid, read and follow the safety instructions. If you develop severe itching and hives, with swelling of the face, eyes, lips, mouth or throat; difficulty breathing; throat tightness or hoarseness; and/or fainting,...","
									2015-12-10								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56268a-eng.php","Health Canada warns of potential for serious allergic reactions to over-the-counter topical acne products"
"Managing marketed health product-related side effects depends on healthcare professionals and consumers reporting them. Any case of serious or unexpected side effects in patients receiving health products mentioned in this communication should be reported to Hospira HealthCare Corporation or Health Canada....","
									2015-12-10								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56168a-eng.php","Fourteen Health Products Manufactured by Hospira - Incorrect, Outdated or Missing Labelling Information"
"Ruby-Fill Rubidium 82 Generator (2015-12-07) Affected Products  Ruby-Fill Rubidium 82 Generator  This unit is recalled due to a Strontium breakthrough.  One hospital in Alberta    Ruby-Fill Rubidium 82 Generator Not Applicable Generator 1X100mCi...","
									2015-12-07								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56244r-eng.php","Ruby-Fill Rubidium 82 Generator (2015-12-07)"
"Propofol Injection (2015-12-03) Affected Products  Propofol Injection  Recalled lot does not meet its vial fill specification.  Wholesalers across Canada    Propofol Injection (2015-12-03) DIN 02437643 Intravenous emulsion 10 mg/mL, 1% w/v Propofol...","
									2015-12-03								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/56250r-eng.php","Propofol Injection (2015-12-03)"
